yas,gelir,abonelik_suresi,destek_talebi_sayisi,sehir,uyelik_tipi,churn
56,36320.0,2,5,Istanbul,Standart,1
50,7913.0,11,1,Istanbul,Standart,0
18,21450.0,51,9,Ankara,Premium,1
44,28107.0,39,4,Ankara,Standart,0
69,24764.0,38,9,Bursa,Premium,1
30,24491.0,34,0,Izmir,Standart,0
58,7373.0,38,5,Istanbul,Premium,0
20,16161.0,50,5,Ankara,Standart,0
56,35996.0,34,3,Ankara,Gold,0
23,31122.0,18,7,Istanbul,Gold,1
25,38850.0,30,3,Izmir,Gold,0
44,31350.0,15,7,Istanbul,Premium,1
26,31472.0,27,7,Izmir,Standart,1
54,32761.0,51,4,Ankara,Premium,0
50,29351.0,34,3,Izmir,Standart,0
68,27132.0,52,1,Bursa,Standart,0
59,19305.0,57,2,Ankara,Standart,0
61,13817.0,38,2,Bursa,Standart,0
41,15261.0,33,3,Istanbul,Premium,0
32,4417.0,24,3,Istanbul,Premium,0
49,24358.0,15,9,Istanbul,Standart,1
49,7267.0,30,4,Izmir,Standart,0
41,21209.0,55,3,Ankara,Gold,0
58,28052.0,42,9,Istanbul,Standart,1
69,30092.0,51,7,Istanbul,Standart,1
66,15338.0,17,5,Ankara,Standart,0
66,4412.0,5,5,Istanbul,Premium,1
69,11543.0,29,7,Bursa,Premium,0
29,37496.0,4,6,Ankara,Standart,1
56,27548.0,10,9,Ankara,Standart,1
19,31384.0,56,9,Ankara,Premium,1
20,22888.0,17,7,Bursa,Premium,0
66,39735.0,10,1,Ankara,Standart,0
54,21506.0,17,8,Bursa,Gold,0
66,24463.0,20,0,Ankara,Standart,0
34,21955.0,24,7,Izmir,Standart,1
66,9104.0,5,3,Istanbul,Gold,0
19,38911.0,34,3,Izmir,Standart,0
19,27190.0,6,4,Istanbul,Premium,0
45,11357.0,53,7,Bursa,Standart,0
40,36479.0,2,4,Izmir,Standart,0
54,24150.0,13,7,Ankara,Gold,1
49,9644.0,43,9,Istanbul,Standart,1
50,6914.0,43,0,Istanbul,Gold,0
18,25352.0,48,9,Izmir,Standart,1
36,18397.0,11,8,Bursa,Standart,1
19,4728.0,51,5,Izmir,Standart,0
61,4698.0,47,2,Bursa,Premium,0
43,17923.0,57,7,Bursa,Standart,0
49,,23,8,Istanbul,Gold,0
23,11400.0,55,5,Izmir,Standart,0
49,28466.0,16,6,Izmir,Gold,0
21,8360.0,31,0,Bursa,Standart,0
28,39270.0,11,4,Izmir,Gold,0
34,21101.0,54,4,Ankara,Premium,0
55,36307.0,16,9,Ankara,Premium,1
41,9486.0,8,3,Izmir,Gold,0
22,12335.0,4,5,Izmir,Premium,1
69,25364.0,40,6,Bursa,Premium,1
51,27576.0,4,8,Ankara,Standart,1
23,35667.0,56,0,Ankara,Standart,0
39,15130.0,25,5,Istanbul,Gold,0
28,25972.0,3,6,Bursa,Premium,1
65,5167.0,32,2,Istanbul,Premium,0
33,31192.0,3,7,Ankara,Standart,1
50,5062.0,27,4,Bursa,Standart,0
26,22540.0,29,8,Izmir,Standart,1
23,28244.0,32,4,Bursa,Premium,0
33,,50,8,Izmir,Standart,0
46,25689.0,58,9,Izmir,Standart,1
20,15174.0,51,3,Bursa,Standart,0
37,26925.0,19,8,Izmir,Standart,1
53,13348.0,21,4,Istanbul,Premium,0
36,27714.0,5,9,Ankara,Standart,1
43,,18,8,Izmir,Premium,0
20,28394.0,28,2,Istanbul,Standart,0
36,10801.0,42,3,Izmir,Standart,0
37,10731.0,22,8,Ankara,Standart,1
49,27625.0,21,9,Istanbul,Standart,1
24,21337.0,6,5,Ankara,Standart,0
69,39307.0,1,1,Ankara,Standart,0
58,11056.0,5,6,Istanbul,Premium,1
50,15516.0,41,1,Istanbul,Standart,0
57,5542.0,12,1,Istanbul,Premium,0
56,25677.0,26,0,Bursa,Gold,0
35,31569.0,46,2,Istanbul,Premium,0
57,27322.0,34,5,Istanbul,Standart,0
18,23065.0,49,7,Istanbul,Standart,0
28,21924.0,14,8,Istanbul,Standart,0
45,26556.0,26,6,Izmir,Standart,0
42,30962.0,45,3,Bursa,Gold,0
67,32295.0,27,5,Ankara,Standart,0
40,17807.0,9,4,Istanbul,Standart,0
48,30432.0,26,7,Izmir,Premium,0
47,21749.0,57,0,Izmir,Premium,0
59,30256.0,47,0,Izmir,Premium,0
52,5324.0,57,5,Ankara,Standart,0
24,29731.0,22,9,Istanbul,Standart,1
33,39909.0,47,1,Bursa,Premium,0
43,27803.0,56,4,Bursa,Standart,0
65,,30,0,Izmir,Standart,0
69,38578.0,43,6,Ankara,Standart,1
66,10588.0,48,0,Ankara,Standart,0
19,30790.0,17,3,Ankara,Standart,0
18,29289.0,26,8,Bursa,Standart,1
65,32178.0,36,0,Izmir,Premium,0
29,32710.0,1,3,Istanbul,Premium,0
22,19485.0,8,5,Bursa,Gold,0
54,24652.0,49,5,Izmir,Standart,0
